"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","74.84","$7.2B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.38","$526.02M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","5.51","$33.61M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","26.5","$18.55M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.14","$66.6M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","13.8","$891.35M","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","10.8533","$52.93M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","21.85","$222.69M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","50.79","$1.3B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","9.23","$1.04B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","24","$1.52B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","9.82","$1.49B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","7.88","$295.46M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"JOBS","51job, Inc.","87.92","$5.83B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","25.76","$334.71M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"JFK","8i Enterprises Acquisition Corp","10.04","$74.57M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.4","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.47","$52.35M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.38","$2.19M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","19.05","$1.91B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"JFU","9F Inc.","9.35","$1.81B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","50.01","$2.61B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","2.62","$218.87M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ABMD","ABIOMED, Inc.","178.69","$8.07B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.3496","$58.87M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","9.86","$706.59M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","68.39","$2.82B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.7","$135.93M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","33.46","$2.96B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","44.41","$6.84B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","10.03","$383.11M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.21","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.7","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","2.19","$194.87M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","17.91","$978.69M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","53.54","$2.84B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","2.65","$235.92M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.03","$161.53M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","3.69","$37.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","0.56","$14.02M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","6.22","$871.37M","2006","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","38.73","$4.48B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.86","$76.98M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","24.78","$450.91M","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","36.34","$257.09M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","2.26","$108.55M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ACTT","Act II Global Acquisition Corp.","10.11","$379.13M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.65","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.95","$20.66M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acttw",
"ATVI","Activision Blizzard, Inc","59.88","$46B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"ADMS","Adamas Pharmaceuticals, Inc.","5.11","$142.35M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.8019","$49.42M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"AHCO","AdaptHealth Corp. ","11.11","$804.47M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","1.26","$132.51M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","29.99","$3.73B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADUS","Addus HomeCare Corporation","97.26","$1.51B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.3899","$24.76M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","8.56","$259.03M","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","2.47","$25.49M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.37","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ADMA","ADMA Biologics Inc","3.72","$220.66M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","337.87","$162.97B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","9.93","$474.92M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","1.39","$111.92M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","11.01","$204.66M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","70.84","$2.72B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","47.83","$55.82B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","1.23","$61.76M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"ADVM","Adverum Biotechnologies, Inc.","11.06","$714.34M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","25.36","$31.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","25.4488","$27.99M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","25.18","$27.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","24.025","$2.4M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","22.88","$43.47M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","25.325","$12.03M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","21.69","$667.17M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.91","$229.28M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","2.01","$45.71M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.84","$17.28M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","24.56","$1.14B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","68.56","$1.64B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.617","$25.04M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","6.46","$152.54M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","1.1101","$22.24M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.245","$4.03M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","0.181","$14.07M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","2.51","$191.33M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFYA","Afya Limited","28.06","$2.52B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"AGBA","AGBA Acquisition Limited","10.1","$60.35M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.22","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.3","$61.54M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.0501","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGEN","Agenus Inc.","3.65","$501.37M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","2.92","$173.16M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","25.77","$609.68M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","50.15","$3.43B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","16.92","$360.67M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","17.88","$9.67B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","25.95","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","26.09","$339170","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","25.87","$243.18M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGFS","AgroFresh Solutions, Inc.","2.72","$138.61M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.012","n/a","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","0.6051","$16.83M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","34.28","$2.17B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","21.22","$64.17M","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airt",
"AIRTP","Air T, Inc.","2.5193","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtp",
"AIRTW","Air T, Inc.","0.07","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtw",
"ATSG","Air Transport Services Group, Inc","23.35","$1.39B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","10.28","$99.68M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/airg",
"ANTE","AirNet Technology Inc.","0.99","$12.44M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/ante",
"AKAM","Akamai Technologies, Inc.","91.4","$14.77B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.77","$37.19M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aktx",
"SONG","Akazoo S.A.","5.3003","$263.08M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/song",
"SONGW","Akazoo S.A.","0.5","$3.09M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/songw",
"AKCA","Akcea Therapeutics, Inc.","17.61","$1.77B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","7.15","$850.44M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akba",
"KERN","Akerna Corp.","7.15","$78.36M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kern",
"KERNW","Akerna Corp.","0.7856","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kernw",
"AKRO","Akero Therapeutics, Inc.","19.75","$564.03M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akro",
"AKER","Akers Biosciences Inc.","3.51","$3.99M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","1.25","$157.68M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","8.54","$308.83M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","42.99","$2.09B","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.81","$95.95M","1999","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/alsk",
"ALAC","Alberton Acquisition Corporation","10.37","$152.33M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.22","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.52","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.0602","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/alacw",
"ALBO","Albireo Pharma, Inc.","25.98","$329.6M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","9.19","$118.33M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abdc",
"ALDX","Aldeyra Therapeutics, Inc.","6.3","$176.1M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aldx",
"ALEC","Alector, Inc.","18.22","$1.26B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/alec",
"ALRS","Alerus Financial Corporation","22.27","$379.69M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/alrs",
"ALXN","Alexion Pharmaceuticals, Inc.","108.58","$24.03B","1996","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","36.18","$270.45M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","286","$22.54B","2001","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","6.61","$32.81M","2010","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alim",
"ALYA","Alithya Group inc.","2.855","$139.9M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/alya",
"ALJJ","ALJ Regional Holdings, Inc.","1.2991","$54.46M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","19.29","$3.04B","1991","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alks",
"ALLK","Allakos Inc.","89.5","$4.36B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/allk",
"ABTX","Allegiance Bancshares, Inc.","37.55","$781.44M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","173.74","$2.83B","2006","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/algt",
"ALGR","Allegro Merger Corp.","10.26","$195.56M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.31","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.57","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.2","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/algrw",
"ALNA","Allena Pharmaceuticals, Inc.","2.49","$58.43M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/alna",
"ARLP","Alliance Resource Partners, L.P.","11.59","$1.49B","1999","Energy","Coal Mining","https://old.nasdaq.com/symbol/arlp",
"LNT","Alliant Energy Corporation","53.92","$12.96B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/lnt",
"AESE","Allied Esports Entertainment, Inc.","2.47","$57.25M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/aese",
"AHPI","Allied Healthcare Products, Inc.","1.32","$5.3M","1992","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","47.68","$457.72M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/amot",
"ALLO","Allogene Therapeutics, Inc.","26.53","$3.23B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/allo",
"ALLT","Allot Ltd.","9.23","$317.07M","2006","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","9.62","$1.56B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/mdrx",
"ALNY","Alnylam Pharmaceuticals, Inc.","115.47","$12.87B","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","13.365","$328.15M","2010","Technology","Semiconductors","https://old.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1404.32","$968.54B","2004","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1405.04","$969.04B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","24.9277","$22.43M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","6.74","$413.57M","2006","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","3.76","$69.89M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alpn",
"ALTR","Altair Engineering Inc.","37.62","$2.7B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/altr",
"ATHE","Alterity Therapeutics Limited","0.8174","$11.89M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/athe",
"ALT","Altimmune, Inc.","1.88","$28.84M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","19.26","$302.17M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","36.33","$2.35B","2006","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aimc",
"ALTM","Altus Midstream Company","2.78","$903.3M","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/altm",
"AMAG","AMAG Pharmaceuticals, Inc.","12.665","$429.54M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amag",
"AMAL","Amalgamated Bank","19","$598.79M","2018","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","19.46","$6.98B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","8.37","$58.85M","n/a","Basic Industries","Other Specialty Stores","https://old.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","1891.97","$938.03B","1997","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","21.54","$981.23M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","9.8","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","64.59","$2.17B","2012","Technology","Semiconductors","https://old.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","40.685","$2.26B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/amcx",
"AMCI","AMCI Acquisition Corp.","10.2","$281.16M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amci",
"AMCIU","AMCI Acquisition Corp.","10.6","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciu",
"AMCIW","AMCI Acquisition Corp.","0.43","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciw",
"DOX","Amdocs Limited","72.79","$9.81B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dox",
"AMED","Amedisys Inc","171.83","$5.54B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/amed",
"AMTB","Amerant Bancorp Inc.","20.67","$893.09M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amtb",
"AMTBB","Amerant Bancorp Inc.","16","$691.31M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amtbb",
"UHAL","Amerco","378.77","$7.43B","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","2.5085","$6.3M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.0346","n/a","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","7.59","$461.74M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","15.81","$52.18B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","27.84","$12.2B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/aal",
"AFIN","American Finance Trust, Inc.","12.79","$1.37B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/afin",
"AFINP","American Finance Trust, Inc.","25.09","$30.11M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/afinp",
"AMNB","American National Bankshares, Inc.","38.63","$429.31M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","116.39","$3.13B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/anat",
"AOBC","American Outdoor Brands Corporation","9.52","$524.18M","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","27.13","$417.75M","2007","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/apei",
"AREC","American Resources Corporation","0.685","$18.73M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/arec",
"AMRB","American River Bankshares","15","$88.5M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amrb",
